,Title,Published_date,Views,Likes,Comments
273,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,814,33,12
274,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1446,36,8
275,Where YOU Should Start With Data Science Projects,2019-02-19,17326,353,17
276,Watch This Before Applying to Data Science Jobs,2019-02-04,1504,65,13
277,My Top 5 Data Science Resources for 2019,2019-01-05,3716,122,17
278,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,839,35,6
279,The Best Way to Predict NBA Minutes Played,2018-12-11,4532,110,14
280,Demystifying Data Science Roles,2018-11-30,1142,53,5
281,How to Simulate NBA Games in Python,2018-11-19,17969,397,54
282,Should You Get A Masters in Data Science?,2018-11-14,20634,304,135
283,How I Became A Data Scientist From a Business Background,2018-11-12,6491,198,23
284,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,8874,193,17
285,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,19075,295,41
